timestamp,batt_volt,batt_level,height
1572102600,3.7,85,151
1572102900,3.7,85,151
1572103200,3.7,85,151
1572103500,3.7,85,151
1572103800,3.7,85,151
1572104100,3.7,85,151
1572104400,3.7,85,151
1572104700,3.7,85,151
1572105000,3.7,85,151
1572105300,3.7,85,151
1572105600,3.7,85,151
1572105900,3.7,85,151
1572106200,3.7,85,151
1572106500,3.7,85,151
1572106800,3.7,85,151
1572107100,3.7,85,151
1572107400,3.7,85,151
1572107700,3.7,85,151
1572108000,3.7,85,151
1572108300,3.7,85,151
1572108600,3.7,85,151
1572108900,3.7,85,151
1572109200,3.7,85,151
1572109500,3.7,85,151
1572109800,3.7,85,151
1572110100,3.7,85,151
1572110400,3.7,85,151
1572110700,3.7,85,151
1572111000,3.7,85,151
1572111300,3.7,85,151
1572111600,3.7,85,151
1572111900,3.7,85,151
1572112200,3.7,85,151
1572112500,3.7,85,151
1572112800,3.7,85,151
1572113100,3.7,85,151
1572113400,3.7,85,151
1572113700,3.7,85,151
1572114000,3.7,85,151
1572114300,3.7,85,151
1572114600,3.7,85,151
1572114900,3.7,85,151
1572115200,3.7,85,151
1572115500,3.7,85,151
1572115800,3.7,85,151
1572116100,3.7,85,151
1572116400,3.7,85,151
1572116700,3.7,85,151
1572117000,3.7,85,151
1572117300,3.7,85,151
1572117600,3.7,85,151
1572117900,3.7,85,151
1572118200,3.7,85,151
1572118500,3.7,85,151
1572118800,3.7,85,151
1572119100,3.7,85,151
1572119400,3.7,85,151
1572119700,3.7,85,151
1572120000,3.7,85,151
1572120300,3.7,85,151
1572120600,3.7,85,151
1572120900,3.7,85,151
1572121200,3.7,85,151
1572121500,3.7,85,151
1572121800,3.7,85,151
1572122100,3.7,85,151
1572122400,3.7,85,151
1572122700,3.7,85,151
1572123000,3.7,85,151
1572123300,3.7,85,151
1572123600,3.7,85,151
1572123900,3.7,85,151
1572124200,3.7,85,151
1572124500,3.7,85,151
1572124800,3.7,85,151
1572125100,3.7,85,151
1572125400,3.7,85,151
1572125700,3.7,85,151
1572126000,3.7,85,151
1572126300,3.7,85,151
1572126600,3.7,85,151
1572126900,3.7,85,151
1572127200,3.7,85,151
1572127500,3.7,85,151
1572127800,3.7,85,151
1572128100,3.7,85,151
1572128400,3.7,85,151
1572128700,3.7,85,151
1572129000,3.7,85,151
1572129300,3.7,85,151
1572129600,3.7,85,151
1572129900,3.7,85,151
1572130200,3.7,85,151
1572130500,3.7,85,151
1572130800,3.7,85,151
1572131100,3.7,85,151
1572131400,3.7,85,151
1572131700,3.7,85,151
1572132000,3.7,85,151
1572132300,3.7,85,151
1572132600,3.7,85,151
1572132900,3.7,85,151
1572133200,3.7,85,151
1572133500,3.7,85,151
1572133800,3.7,85,151
1572134100,3.7,85,151
1572134400,3.7,85,151
1572134700,3.7,85,151
1572135000,3.7,85,151
1572135300,3.7,85,151
1572135600,3.7,85,151
1572135900,3.7,85,151
1572136200,3.7,85,151
1572136500,3.7,85,151
1572136800,3.7,85,151
1572137100,3.7,85,151
1572137400,3.7,85,151
1572137700,3.7,85,151
1572138000,3.7,85,151
1572138300,3.7,85,151
1572138600,3.7,85,151
1572138900,3.7,85,151
1572139200,3.7,85,151
1572139500,3.7,85,151
1572139800,3.7,85,151
1572140100,3.7,85,151
1572140400,3.7,85,151
1572140700,3.7,85,151
1572141000,3.7,85,151
1572141300,3.7,85,151
1572141600,3.7,85,151
1572141900,3.7,85,151
1572142200,3.7,85,151
1572142500,3.7,85,151
1572142800,3.7,85,151
1572143100,3.7,85,151
1572143400,3.7,85,151
