timestamp,message
1596202356291,"Number of data points in queue: 0"
1596202365331,", Entering power saving mode. Sleeping for 15 min."
1596203296050,"Slope: 1.881890, Current: 144.055191, Previous: 115.826836"
1596203307170,"Number of data points in queue: 0"
1596203316210,", Entering power saving mode. Sleeping for 15 min."
1596204247013,"Slope: 0.000000, Current: 144.055191, Previous: 144.055191"
1596204250050,"Number of data points in queue: 0"
1596204258851,", Entering power saving mode. Sleeping for 15 min."
1596205188770,"Slope: -0.023622, Current: 143.700867, Previous: 144.055191"
1596205192130,"Number of data points in queue: 0"
1596205201730,", Entering power saving mode. Sleeping for 15 min."
1596206131413,"Slope: -0.005249, Current: 143.622131, Previous: 143.700867"
1596206134770,"Number of data points in queue: 0"
1596206143410,", Entering power saving mode. Sleeping for 15 min."
1596207073092,"Slope: 0.028871, Current: 144.055191, Previous: 143.622131"
1596207076290,"Number of data points in queue: 0"
1596207085250,", Entering power saving mode. Sleeping for 15 min."
1596208015893,"Slope: -0.020997, Current: 143.740234, Previous: 144.055191"
1596208019012,"Number of data points in queue: 0"
1596208028691,", Entering power saving mode. Sleeping for 15 min."
1596208958453,"Slope: -0.007874, Current: 143.622131, Previous: 143.740234"
1596208961570,"Number of data points in queue: 0"
1596208971012,", Entering power saving mode. Sleeping for 15 min."
1596209902773,"Slope: 0.010498, Current: 143.779602, Previous: 143.622131"
1596209905890,"Number of data points in queue: 0"
1596209914850,", Entering power saving mode. Sleeping for 15 min."
1596210844530,"Slope: 0.013124, Current: 143.976456, Previous: 143.779602"
1596210847650,"Number of data points in queue: 0"
1596210857250,", Entering power saving mode. Sleeping for 15 min."
1596211791094,"Slope: -1.863518, Current: 116.023682, Previous: 143.976456"
1596211794294,"Number of data points in queue: 0"
1596211805974,", Entering power saving mode. Sleeping for 15 min."
1596212736770,"Slope: 1.860894, Current: 143.937088, Previous: 116.023682"
1596212747976,"Number of data points in queue: 0"
1596212757330,", Entering power saving mode. Sleeping for 15 min."
1596213688213,"Slope: -0.007875, Current: 143.818970, Previous: 143.937088"
1596213691570,"Number of data points in queue: 0"
1596213701090,", Entering power saving mode. Sleeping for 15 min."
1596214631894,"Slope: 0.005250, Current: 143.897720, Previous: 143.818970"
1596214635254,"Number of data points in queue: 0"
1596214644694,", Entering power saving mode. Sleeping for 15 min."
1596215574530,"Slope: 0.010498, Current: 144.055191, Previous: 143.897720"
1596215578372,"Number of data points in queue: 0"
1596215587331,", Entering power saving mode. Sleeping for 15 min."
1596216522372,"Slope: 0.002625, Current: 144.094559, Previous: 144.055191"
1596216525570,"Number of data points in queue: 0"
1596216535091,", Entering power saving mode. Sleeping for 15 min."
1596217465814,"Slope: 0.005250, Current: 144.173309, Previous: 144.094559"
1596217469012,"Number of data points in queue: 0"
1596217478211,", Entering power saving mode. Sleeping for 15 min."
1596218413017,"Slope: 0.005249, Current: 144.252045, Previous: 144.173309"
1596218416374,"Number of data points in queue: 0"
1596218425655,", Entering power saving mode. Sleeping for 15 min."
1596219356451,"Slope: 0.010499, Current: 144.409531, Previous: 144.252045"
1596219359730,"Number of data points in queue: 0"
1596219368690,", Entering power saving mode. Sleeping for 15 min."
1596220298370,"Slope: 0.013124, Current: 144.606384, Previous: 144.409531"
1596220301490,"Number of data points in queue: 0"
1596220310930,", Entering power saving mode. Sleeping for 15 min."
1596221240611,"Slope: -0.020998, Current: 144.291412, Previous: 144.606384"
1596221243971,"Number of data points in queue: 0"
1596221253331,", Entering power saving mode. Sleeping for 15 min."
1596222184050,"Slope: 0.047244, Current: 145.000076, Previous: 144.291412"
1596222187411,"Number of data points in queue: 0"
1596222197170,", Entering power saving mode. Sleeping for 15 min."
1596223127893,"Slope: -0.023622, Current: 144.645752, Previous: 145.000076"
1596223131090,"Number of data points in queue: 0"
1596223140610,", Entering power saving mode. Sleeping for 15 min."
1596224072451,"Slope: -0.036746, Current: 144.094559, Previous: 144.645752"
1596224075490,"Number of data points in queue: 0"
1596224085090,", Entering power saving mode. Sleeping for 15 min."
1596225014771,"Slope: 0.073491, Current: 145.196930, Previous: 144.094559"
1596225018052,"Number of data points in queue: 0"
1596225027091,", Entering power saving mode. Sleeping for 15 min."
1596225956772,"Slope: -0.023623, Current: 144.842590, Previous: 145.196930"
1596225959970,"Number of data points in queue: 0"
1596225969570,", Entering power saving mode. Sleeping for 15 min."
1596226902451,"Slope: -0.044619, Current: 144.173309, Previous: 144.842590"
1596226905570,"Number of data points in queue: 0"
1596226914930,", Entering power saving mode. Sleeping for 15 min."
1596227847891,"Slope: -1.853020, Current: 116.378014, Previous: 144.173309"
1596227851491,"Number of data points in queue: 0"
1596227860291,", Entering power saving mode. Sleeping for 15 min."
1596228793093,"Slope: -0.020997, Current: 116.063057, Previous: 116.378014"
1596228796453,"Number of data points in queue: 0"
1596228805893,", Entering power saving mode. Sleeping for 15 min."
